section_id,cited_section_id,act,citation_path,phrase,bound_kind,bound_date,bound_year,bound_precision,phrase_match,batch_id,prompt_sha256,context_used
18538,17863,ITA,127(27)(d),"after February 23, 1998",start,1998-02-23,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18558,17863,ITA,127(28)(c),"after February 23, 1998",start,1998-02-23,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18569,17863,ITA,127(29)(d),"after February 23, 1998",start,1998-02-23,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18584,17863,ITA,127(34),"after February 23, 1998",start,1998-02-23,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18594,17863,ITA,127(35),"after February 23, 1998",start,1998-02-23,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18606,17863,ITA,127(36)(b),that have ended after 1997,start,,1997,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17948,17863,ITA,"127(9)""apprenticeship expenditure""(b)","in the taxation year and on or after May 2, 2006",start,2006-05-02,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
17949,17863,ITA,"127(9)""approved project""","on application in writing before July, 1988",end,1988-07,,month,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17955,17863,ITA,"127(9)""certified property""(a)(i)","after October 28, 1980",start,1980-10-28,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17956,17863,ITA,"127(9)""certified property""(a)(i)(A)",before 1987,end,,1987,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17957,17863,ITA,"127(9)""certified property""(a)(i)(B)",before 1988,end,,1988,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17958,17863,ITA,"127(9)""certified property""(a)(i)(B)(I)",a building under construction before 1987,end,,1987,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17959,17863,ITA,"127(9)""certified property""(a)(i)(B)(II)",ordered in writing by the taxpayer before 1987,end,,1987,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17960,17863,ITA,"127(9)""certified property""(a)(ii)",after 1986,start,,1986,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17960,17863,ITA,"127(9)""certified property""(a)(ii)",before 1989,end,,1989,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17961,17863,ITA,"127(9)""certified property""(a)(iii)",after 1988,start,,1988,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17961,17863,ITA,"127(9)""certified property""(a)(iii)",before 1995,end,,1995,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17962,17863,ITA,"127(9)""certified property""(a)(iv)",after 1994,start,,1994,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17962,17863,ITA,"127(9)""certified property""(a)(iv)",before 1996,end,,1996,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17963,17863,ITA,"127(9)""certified property""(a)(iv)(A)","before February 22, 1994",end,1994-02-22,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17964,17863,ITA,"127(9)""certified property""(a)(iv)(B)",begins before 1995,end,,1995,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17965,17863,ITA,"127(9)""certified property""(a)(v)",after 1994,start,,1994,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17966,17863,ITA,"127(9)""certified property""(a)(v)(A)","entered into by the taxpayer before February 22, 1994",end,1994-02-22,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
17967,17863,ITA,"127(9)""certified property""(a)(v)(B)","was under construction by or on behalf of the taxpayer on February 22, 1994",at,1994-02-22,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
17968,17863,ITA,"127(9)""certified property""(a)(v)(C)","under construction by or on behalf of the taxpayer on February 22, 1994",at,1994-02-22,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18006,17863,ITA,"127(9)""flow-through critical mineral mining expenditure""(a)","incurred by a corporation after April 7, 2022",start,2022-04-07,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18013,17863,ITA,"127(9)""flow-through critical mineral mining expenditure""(c)","made after April 7, 2022",start,2022-04-07,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18013,17863,ITA,"127(9)""flow-through critical mineral mining expenditure""(c)","on or before March 31, 2027",end,2027-03-31,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18014,17863,ITA,"127(9)""flow-through critical mineral mining expenditure""(d)","made after April 7, 2022",start,2022-04-07,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18014,17863,ITA,"127(9)""flow-through critical mineral mining expenditure""(d)","on or before March 31, 2027",end,2027-03-31,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18020,17863,ITA,"127(9)""flow-through mining expenditure""(a)",deemed by subsection 66(12.66) to be incurred before 2028,end,,2028,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18020,17863,ITA,"127(9)""flow-through mining expenditure""(a)",incurred by a corporation after March 2025 and before 2028,start,2025-03,,month,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18020,17863,ITA,"127(9)""flow-through mining expenditure""(a)",incurred by a corporation after March 2025 and before 2028,end,,2028,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18027,17863,ITA,"127(9)""flow-through mining expenditure""(c)",before April 2027,end,2027-04,,month,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18027,17863,ITA,"127(9)""flow-through mining expenditure""(c)",made after March 2025,start,2025-03,,month,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18028,17863,ITA,"127(9)""flow-through mining expenditure""(d)",before April 2027,end,2027-04,,month,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18028,17863,ITA,"127(9)""flow-through mining expenditure""(d)",made after March 2025,start,2025-03,,month,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18048,17863,ITA,"127(9)""investment tax credit""(e.1)(ii)",for taxation years that began before 1996,end,,1996,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18049,17863,ITA,"127(9)""investment tax credit""(e.1)(iii)",for taxation years that began before 1996,end,,1996,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18055,17863,ITA,"127(9)""investment tax credit""(e.2)(i)",for taxation years that began before 1996,end,,1996,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18079,17863,ITA,"127(9)""phase""","attained before March 29, 2012",end,2012-03-29,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18080,17863,ITA,"127(9)""pre-production mining expenditure""",incurred after 2002,start,,2002,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18115,17863,ITA,"127(9)""qualified property""(a)","acquired by the taxpayer after June 23, 1975",start,1975-06-23,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18116,17863,ITA,"127(9)""qualified property""(b)","acquired by the taxpayer after June 23, 1975",start,1975-06-23,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18117,17863,ITA,"127(9)""qualified property""(b.1)","acquired by the taxpayer after March 28, 2012",start,2012-03-28,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18136,17863,ITA,"127(9)""qualified resource property""","acquired by the taxpayer after March 28, 2012",start,2012-03-28,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18160,17863,ITA,"127(9)""specified percentage""(a)(i)","acquired before April, 1977, 5%",step_down,1977-04,,month,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18161,17863,ITA,"127(9)""specified percentage""(a)(ii)","acquired after March 31, 1977",start,1977-03-31,,day,exact,msgbatch_016eDcdn9uNXaHf3uegqfihG,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18161,17863,ITA,"127(9)""specified percentage""(a)(ii)","before November 17, 1978",end,1978-11-17,,day,exact,msgbatch_016eDcdn9uNXaHf3uegqfihG,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18166,17863,ITA,"127(9)""specified percentage""(a)(iii)(A)","after November 16, 1978 and before 1989, 20%",step_down,1978-11-16,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18166,17863,ITA,"127(9)""specified percentage""(a)(iii)(A)","after November 16, 1978 and before 1989, 20%",step_down,,1989,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18167,17863,ITA,"127(9)""specified percentage""(a)(iii)(B)",after 1988,step_down,,1988,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18167,17863,ITA,"127(9)""specified percentage""(a)(iii)(B)",before 1995,step_down,,1995,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18168,17863,ITA,"127(9)""specified percentage""(a)(iii)(C)","after 1994, 15%",step_down,,1994,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18169,17863,ITA,"127(9)""specified percentage""(a)(iii)(C)(I)","entered into by the taxpayer before February 22, 1994",end,1994-02-22,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18170,17863,ITA,"127(9)""specified percentage""(a)(iii)(C)(II)","was under construction by or on behalf of the taxpayer on February 22, 1994",at,1994-02-22,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18171,17863,ITA,"127(9)""specified percentage""(a)(iii)(C)(III)","under construction by or on behalf of the taxpayer on February 22, 1994",at,1994-02-22,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18172,17863,ITA,"127(9)""specified percentage""(a)(iii)(D)","after 1994, 10%",step_down,,1994,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18173,17863,ITA,"127(9)""specified percentage""(a)(iv)","acquired after November 16, 1978",step_down,1978-11-16,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18173,17863,ITA,"127(9)""specified percentage""(a)(iv)","before February 26, 1986",step_down,1986-02-26,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18175,17863,ITA,"127(9)""specified percentage""(a)(v)(A)","after February 25, 1986",step_down,1986-02-25,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18175,17863,ITA,"127(9)""specified percentage""(a)(v)(A)",before 1989,step_down,,1989,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18176,17863,ITA,"127(9)""specified percentage""(a)(v)(B)",after 1988,step_down,,1988,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18176,17863,ITA,"127(9)""specified percentage""(a)(v)(B)",before 1995,step_down,,1995,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18177,17863,ITA,"127(9)""specified percentage""(a)(v)(C)","after 1994, 15%",step_down,,1994,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18178,17863,ITA,"127(9)""specified percentage""(a)(v)(C)(I)","before February 22, 1994",end,1994-02-22,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18179,17863,ITA,"127(9)""specified percentage""(a)(v)(C)(II)","was under construction by or on behalf of the taxpayer on February 22, 1994",at,1994-02-22,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18180,17863,ITA,"127(9)""specified percentage""(a)(v)(C)(III)","under construction by or on behalf of the taxpayer on February 22, 1994",at,1994-02-22,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18181,17863,ITA,"127(9)""specified percentage""(a)(v)(D)","after 1994, 10%",step_down,,1994,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18183,17863,ITA,"127(9)""specified percentage""(a)(vi)(A)","after November 16, 1978 and before 1987, 10%,",step_down,1978-11-16,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18183,17863,ITA,"127(9)""specified percentage""(a)(vi)(A)","after November 16, 1978 and before 1987, 10%,",step_down,,1987,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18184,17863,ITA,"127(9)""specified percentage""(a)(vi)(B)","in 1987, 7%",step_down,,1987,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18185,17863,ITA,"127(9)""specified percentage""(a)(vi)(C)","in 1988, 3%",step_down,,1988,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18186,17863,ITA,"127(9)""specified percentage""(a)(vi)(D)","after 1988, 0%",step_down,,1988,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18188,17863,ITA,"127(9)""specified percentage""(a)(vii)(A)","after November 16, 1978",step_down,1978-11-16,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18188,17863,ITA,"127(9)""specified percentage""(a)(vii)(A)",before 1987,step_down,,1987,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18189,17863,ITA,"127(9)""specified percentage""(a)(vii)(B)","in 1987, 5%,",step_down,,1987,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18190,17863,ITA,"127(9)""specified percentage""(a)(vii)(C)","in 1988, 3%",step_down,,1988,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18191,17863,ITA,"127(9)""specified percentage""(a)(vii)(D)","after 1988, 0%",step_down,,1988,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18193,17863,ITA,"127(9)""specified percentage""(a.1)(i)","after March 28, 2012",step_down,2012-03-28,,day,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18193,17863,ITA,"127(9)""specified percentage""(a.1)(i)",before 2014,step_down,,2014,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18194,17863,ITA,"127(9)""specified percentage""(a.1)(ii)",after 2013,step_down,,2013,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18194,17863,ITA,"127(9)""specified percentage""(a.1)(ii)",before 2017,step_down,,2017,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18195,17863,ITA,"127(9)""specified percentage""(a.1)(ii)(A)","entered into by the taxpayer before March 29, 2012",end,2012-03-29,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18197,17863,ITA,"127(9)""specified percentage""(a.1)(ii)(B)(I)","started by, or on behalf of, the taxpayer before March 29, 2012",end,2012-03-29,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18198,17863,ITA,"127(9)""specified percentage""(a.1)(ii)(B)(II)","was started by, or on behalf of, the taxpayer before March 29, 2012",end,2012-03-29,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18200,17863,ITA,"127(9)""specified percentage""(a.1)(iii)(A)","in 2014 and 2015, 5%",step_down,,2014,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18200,17863,ITA,"127(9)""specified percentage""(a.1)(iii)(A)","in 2014 and 2015, 5%",step_down,,2015,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18201,17863,ITA,"127(9)""specified percentage""(a.1)(iii)(B)","after 2015, 0%",step_down,,2015,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18203,17863,ITA,"127(9)""specified percentage""(b)(i)","before 1987, 7%,",step_down,,1987,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18204,17863,ITA,"127(9)""specified percentage""(b)(ii)","in 1987, 5%",step_down,,1987,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18205,17863,ITA,"127(9)""specified percentage""(b)(iii)","in 1988, 3%",step_down,,1988,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18207,17863,ITA,"127(9)""specified percentage""(c)(i)","before 1987, 7%,",step_down,,1987,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18208,17863,ITA,"127(9)""specified percentage""(c)(ii)","in 1987, 5%",step_down,,1987,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18209,17863,ITA,"127(9)""specified percentage""(c)(iii)","in 1988, 3%,",step_down,,1988,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18215,17863,ITA,"127(9)""specified percentage""(e)(i)","after March 31, 1977",start,1977-03-31,,day,exact,msgbatch_016eDcdn9uNXaHf3uegqfihG,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18215,17863,ITA,"127(9)""specified percentage""(e)(i)","before November 17, 1978",end,1978-11-17,,day,exact,msgbatch_016eDcdn9uNXaHf3uegqfihG,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18219,17863,ITA,"127(9)""specified percentage""(e)(ii)","after November 16, 1978",start,1978-11-16,,day,exact,msgbatch_016eDcdn9uNXaHf3uegqfihG,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18219,17863,ITA,"127(9)""specified percentage""(e)(ii)","before the taxpayer’s taxation year that includes November 1, 1983",end,1983-11-01,,day,exact,msgbatch_016eDcdn9uNXaHf3uegqfihG,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18219,17863,ITA,"127(9)""specified percentage""(e)(ii)","in the taxpayer’s taxation year that includes November 1, 1983 or a subsequent taxation year",start,1983-11-01,,day,exact,msgbatch_016eDcdn9uNXaHf3uegqfihG,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18224,17863,ITA,"127(9)""specified percentage""(e)(iii)","before January 1, 1985",end,1985-01-01,,day,exact,msgbatch_016eDcdn9uNXaHf3uegqfihG,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18224,17863,ITA,"127(9)""specified percentage""(e)(iii)","ends after October 31, 1983",start,1983-10-31,,day,exact,msgbatch_016eDcdn9uNXaHf3uegqfihG,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
18230,17863,ITA,"127(9)""specified percentage""(e)(iv)(A)",after the taxpayer’s 1984 taxation year,start,,1984,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18230,17863,ITA,"127(9)""specified percentage""(e)(iv)(A)",before 1995,end,,1995,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18231,17863,ITA,"127(9)""specified percentage""(e)(iv)(B)",after 1994,start,,1994,year,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18231,17863,ITA,"127(9)""specified percentage""(e)(iv)(B)","before February 22, 1994",end,1994-02-22,,day,exact,msgbatch_01MAMQYzwFgpXmFNT65qsCPu,105e4ae4d8e52a8264a85f937a329ac261025c3f3a2c4e8ffe45914bac17f16e,
18235,17863,ITA,"127(9)""specified percentage""(e)(v)","made by a taxpayer after 1994, 20%",step_down,,1994,year,exact,msgbatch_01994ACyYJVJfcoySYAdCGaw,5d4fbebf557535ebdcf651adda9f3b9d12093e3e7b3da50aedc79177fb876a4a,
